x,y,z,Xcam0,Ycam0,Xcam1,Ycam1,Xcam2,Ycam2,Xcam3,Ycam3
-24,-32,-8,23.58139414,141.1680191,323.9300032,344.7434811,101.4131704,135.0855921,201.9638272,-26.96498407
-24,-28,-8,28.21702823,220.0100222,316.652335,421.2531955,96.30932232,221.8908927,209.9471666,56.96341039
-24,-24,-8,32.88183186,299.3481356,309.3305891,498.2262951,91.23885006,308.1285426,217.8803311,140.3643195
-24,-20,-8,37.57608124,379.1870567,301.964364,575.6670025,86.20142736,393.804092,225.7637922,223.2427006
-24,-16,-8,42.30005605,459.5315425,294.5532531,653.5795917,81.19673213,478.9230185,233.5980158,305.603449
-24,-12,-8,47.05403954,540.3864103,287.0968449,731.9683889,76.22444646,563.4907291,241.3834615,387.4513989
-24,-8,-8,51.83831855,621.7565388,279.5947229,810.8377736,71.28425656,647.512561,249.1205835,468.7913249
-24,-4,-8,56.65318362,703.6468691,272.0464652,890.1921788,66.37585266,730.9937824,256.8098304,549.627942
-24,0,-8,61.49892898,786.0624057,264.4516451,970.0360925,61.49892898,813.9395943,264.4516451,629.9659075
-24,4,-8,66.37585266,869.0082176,256.8098304,1050.374058,56.65318362,896.3551309,272.0464652,709.8098212
-24,8,-8,71.28425656,952.489439,249.1205835,1131.210675,51.83831855,978.2454612,279.5947229,789.1642264
-24,12,-8,76.22444646,1036.511271,241.3834615,1212.550601,47.05403954,1059.61559,287.0968449,868.0336111
-24,16,-8,81.19673213,1121.078981,233.5980158,1294.398551,42.30005605,1140.470457,294.5532531,946.4224083
-24,20,-8,86.20142736,1206.197908,225.7637923,1376.759299,37.57608124,1220.814943,301.964364,1024.334998
-24,24,-8,91.23885006,1291.873457,217.8803311,1459.63768,32.88183186,1300.653864,309.3305891,1101.775705
-24,28,-8,96.30932232,1378.111107,209.9471666,1543.03859,28.21702823,1379.991978,316.652335,1178.748805
-24,32,-8,101.4131704,1464.916408,201.9638272,1626.966984,23.58139414,1458.833981,323.9300032,1255.258519
-20,-32,-8,104.0369319,158.7326395,398.9745117,328.3601674,185.8277135,121.0786997,280.4186119,-13.94699343
-20,-28,-8,108.9091386,237.3752655,391.9013816,405.0593197,180.4651005,207.6370065,288.1798737,70.21407626
-20,-24,-8,113.8119044,316.5111462,384.7852785,482.2244605,175.1374377,293.631181,295.8921976,153.8444778
-20,-20,-8,118.7455175,396.1449368,377.6258094,559.8598492,169.8443844,379.06672,303.5560452,236.9492147
-20,-16,-8,123.7102701,476.2813513,370.4225769,637.9697977,164.5856045,463.9490496,311.1718721,319.5332273
-20,-12,-8,128.7064578,556.9251633,363.1751784,716.5586706,159.3607662,548.2835256,318.7401282,401.6013947
-20,-8,-8,133.7343803,638.0812073,355.8832065,795.630886,154.169542,632.0754348,326.2612577,483.1585351
-20,-4,-8,138.7943408,719.754379,348.5462486,875.1909168,149.0116085,715.3299965,333.7356997,564.2094066
-20,0,-8,143.8866464,801.949637,341.1638873,955.2432912,143.8866464,798.052363,341.1638873,644.7587088
-20,4,-8,149.0116085,884.6720035,333.7356997,1035.792593,138.7943408,880.247621,348.5462486,724.8110832
-20,8,-8,154.169542,967.9265652,326.2612577,1116.843465,133.7343803,961.9207927,355.8832065,804.371114
-20,12,-8,159.3607662,1051.718474,318.7401282,1198.400605,128.7064578,1043.076837,363.1751784,883.4433294
-20,16,-8,164.5856045,1136.05295,311.1718721,1280.468773,123.7102701,1123.720649,370.4225769,962.0322023
-20,20,-8,169.8443844,1220.93528,303.5560452,1363.052785,118.7455175,1203.857063,377.6258094,1040.142151
-20,24,-8,175.1374377,1306.370819,295.8921976,1446.157522,113.8119044,1283.490854,384.7852785,1117.77754
-20,28,-8,180.4651005,1392.364993,288.1798737,1529.787924,108.9091386,1362.626734,391.9013816,1194.94268
-20,32,-8,185.8277135,1478.9233,280.4186119,1613.948993,104.0369319,1441.26936,398.9745117,1271.641833
-16,-32,-8,183.9767601,176.1846731,474.4880209,311.8744641,269.6728693,107.1662856,359.3886819,-0.843501586
-16,-28,-8,189.0824113,254.6288531,467.6221359,388.7639308,264.0550864,193.4789515,366.924777,83.55149539
-16,-24,-8,194.2199824,333.5634564,460.714406,466.1220107,258.4737941,279.2309708,374.4131991,167.4126128
-16,-20,-8,199.3897737,412.9930965,453.7644472,543.9530012,252.9286378,364.4277882,381.8543991,250.7449006
-16,-16,-8,204.5920893,492.9224451,446.7718713,622.2612519,247.4192678,449.0747785,389.2488222,333.5533452
-16,-12,-8,209.827237,573.3562325,439.7362849,701.0511662,241.9453388,533.177247,396.5969081,415.8428708
-16,-8,-8,215.0955286,654.2992493,432.6572901,780.3272018,236.5065099,616.7404311,403.8990912,497.6183396
-16,-4,-8,220.3972798,735.7563467,425.5344838,860.0938716,231.1024445,699.7695013,411.1558,578.8845538
-16,0,-8,225.7328105,817.7324379,418.3674581,940.3557445,225.7328105,782.2695621,418.3674581,659.6462555
-16,4,-8,231.1024445,900.2324987,411.1558,1021.117446,220.3972798,864.2456533,425.5344838,739.9081284
-16,8,-8,236.5065099,983.2615689,403.8990912,1102.38366,215.0955286,945.7027507,432.6572901,819.6747982
-16,12,-8,241.9453388,1066.824753,396.5969081,1184.159129,209.827237,1026.645767,439.7362849,898.9508338
-16,16,-8,247.4192678,1150.927222,389.2488222,1266.448655,204.5920893,1107.079555,446.7718713,977.7407481
-16,20,-8,252.9286378,1235.574212,381.8543991,1349.257099,199.3897737,1187.008903,453.7644472,1056.048999
-16,24,-8,258.4737941,1320.771029,374.4131991,1432.589387,194.2199824,1266.438544,460.714406,1133.879989
-16,28,-8,264.0550864,1406.523049,366.924777,1516.450505,189.0824113,1345.373147,467.6221359,1211.238069
-16,32,-8,269.6728693,1492.835714,359.3886819,1600.845502,183.9767601,1423.817327,474.4880209,1288.127536
-12,-32,-8,263.4058212,193.5251987,550.4749411,295.2854082,352.9543793,93.34739713,438.8791303,12.34633659
-12,-28,-8,268.7418342,271.7718582,543.8190474,372.366071,347.0849668,179.4157643,446.1869233,96.97652254
-12,-24,-8,274.1111,350.5061337,537.1224605,449.917994,341.2535519,264.9269387,453.448336,181.0695884
-12,-20,-8,279.5139305,429.7325973,530.384806,527.9455122,335.4597668,349.8863135,460.6638088,264.6306313
-12,-16,-8,284.9506414,509.4558788,523.6057052,606.4530141,329.7032485,434.2992127,467.8337761,347.6646843
-12,-12,-8,290.4215523,589.6806661,516.7847742,685.4449421,323.9836386,518.170892,474.958667,430.1767169
-12,-8,-8,295.9269871,670.4117062,509.9216249,764.925794,318.3005833,601.5065398,482.0389055,512.1716366
-12,-4,-8,301.4672734,751.6538063,503.0158639,844.900123,312.6537332,684.3112784,489.0749098,593.6542893
-12,0,-8,307.0427434,833.4118347,496.0670932,925.3725393,307.0427434,766.5901653,496.0670932,674.6294607
-12,4,-8,312.6537332,915.6907216,489.0749098,1006.347711,301.4672734,848.3481937,503.0158639,755.101877
-12,8,-8,318.3005833,998.4954602,482.0389055,1087.830363,295.9269871,929.5902938,509.9216249,835.076206
-12,12,-8,323.9836386,1081.831108,474.958667,1169.825283,290.4215523,1010.321334,516.7847742,914.5570579
-12,16,-8,329.7032485,1165.702787,467.8337761,1252.337316,284.9506414,1090.546121,523.6057052,993.5489859
-12,20,-8,335.4597668,1250.115686,460.6638088,1335.371369,279.5139305,1170.269403,530.384806,1072.056488
-12,24,-8,341.2535519,1335.075061,453.448336,1418.932412,274.1111,1249.495866,537.1224605,1150.084006
-12,28,-8,347.0849668,1420.586236,446.1869233,1503.025477,268.7418342,1328.230142,543.8190474,1227.635929
-12,32,-8,352.9543793,1506.654603,438.8791303,1587.655663,263.4058212,1406.476801,550.4749411,1304.716592
-8,-32,-8,342.3289951,210.7552817,626.9397382,278.5920247,435.6779081,79.62109442,518.8951179,25.62337738
-8,-28,-8,347.8923317,288.8053408,620.4966213,355.8647708,429.5603523,165.4464947,525.9714255,110.4900237
-8,-24,-8,353.4902267,367.340232,614.0139875,433.6114462,423.4822688,250.7181244,533.0026746,194.8162801
-8,-20,-8,359.1230031,446.364487,607.4914721,511.8364241,417.4432767,335.4413259,539.9892942,278.6072915
-8,-16,-8,364.7909879,525.882694,600.928706,590.5441322,411.4430002,419.6213731,546.9317078,361.8681378
-8,-12,-8,370.4945124,605.8994988,594.3253153,669.7390526,405.4810681,503.2634724,553.8303337,444.6038349
-8,-8,-8,376.2339117,686.4196056,587.6809218,749.4257233,399.557114,586.3727641,560.6855849,526.8193356
-8,-4,-8,382.0095255,767.4477781,580.9951423,829.6087387,393.6707762,668.954323,567.4978691,608.5195305
-8,0,-8,387.8216976,848.9888402,574.267589,910.2927507,387.8216976,751.0131598,574.267589,689.7092493
-8,4,-8,393.6707762,931.047677,567.4978691,991.4824695,382.0095255,832.5542219,580.9951423,770.3932613
-8,8,-8,399.557114,1013.629236,560.6855849,1073.182664,376.2339117,913.5823944,587.6809218,850.5762767
-8,12,-8,405.4810681,1096.738528,553.8303337,1155.398165,370.4945124,994.1025012,594.3253153,930.2629474
-8,16,-8,411.4430002,1180.380627,546.9317078,1238.133862,364.7909879,1074.119306,600.928706,1009.457868
-8,20,-8,417.4432767,1264.560674,539.9892942,1321.394709,359.1230031,1153.637513,607.4914721,1088.165576
-8,24,-8,423.4822688,1349.283876,533.0026746,1405.18572,353.4902267,1232.661768,614.0139875,1166.390554
-8,28,-8,429.5603523,1434.555505,525.9714255,1489.511976,347.8923317,1311.196659,620.4966213,1244.137229
-8,32,-8,435.6779081,1520.380906,518.8951179,1574.378623,342.3289951,1389.246718,626.9397382,1321.409975
-4,-32,-8,420.7510992,227.8759739,703.8869346,261.7933265,517.8490447,65.98645007,599.4418737,38.98848847
-4,-28,-8,426.5387653,305.7303468,697.6594204,339.2590484,511.4867792,151.570205,606.2834646,124.0928765
-4,-24,-8,432.3622684,384.0667917,691.3935905,417.2013911,505.1654287,236.6035804,613.081348,208.6535749
-4,-20,-8,438.2219424,462.8897998,685.0890901,495.6247666,498.8845999,321.0918683,619.8359413,292.6757771
-4,-16,-8,444.1181254,542.2039185,678.74556,574.5336421,492.6439042,405.0402932,626.5476568,376.1646105
-4,-12,-8,450.0511597,622.013752,672.3626368,653.9325399,486.4429583,488.4540131,633.2169015,459.125138
-4,-8,-8,456.0213917,702.3239621,665.9399523,733.8260388,480.2813836,571.3381204,639.8440773,541.5623581
-4,-4,-8,462.0291726,783.1392695,659.4771338,814.2187747,474.1588064,653.6976431,646.4295808,623.4812069
-4,0,-8,468.0748575,864.4644542,652.973804,895.1154418,468.0748575,735.5375458,652.973804,704.8865582
-4,4,-8,474.1588064,946.3043569,646.4295808,976.5207931,462.0291726,816.8627305,659.4771338,785.7832253
-4,8,-8,480.2813836,1028.66388,639.8440773,1058.439642,456.0213917,897.6780379,665.9399523,866.1759612
-4,12,-8,486.4429583,1111.547987,633.2169015,1140.876862,450.0511597,977.988248,672.3626368,946.0694601
-4,16,-8,492.6439042,1194.961707,626.5476568,1223.837389,444.1181254,1057.798082,678.74556,1025.468358
-4,20,-8,498.8845999,1278.910132,619.8359413,1307.326223,438.2219424,1137.1122,685.0890901,1104.377233
-4,24,-8,505.1654287,1363.39842,613.081348,1391.348425,432.3622684,1215.935208,691.3935905,1182.800609
-4,28,-8,511.4867792,1448.431795,606.2834646,1475.909124,426.5387653,1294.271653,697.6594204,1260.742952
-4,32,-8,517.8490447,1534.01555,599.4418737,1561.013512,420.7510992,1372.126026,703.8869346,1338.208674
0,-32,-8,498.6768905,244.8883137,781.3211095,244.8883137,599.4733037,52.44254905,680.5246963,52.44254905
0,-28,-8,504.6859349,322.5479094,775.3120651,322.5479094,592.8697101,137.7859699,687.1282899,137.7859699
0,-24,-8,510.7320686,400.68684,769.2659314,400.68684,586.3084431,222.5823714,693.6895569,222.5823714
0,-20,-8,516.8156362,479.309557,763.1823638,479.309557,579.7890971,306.836996,700.2089029,306.836996
0,-16,-8,522.9369863,558.4205673,757.0610137,558.4205673,573.3112714,390.5550194,706.6867286,390.5550194
0,-12,-8,529.096472,638.0244339,750.901528,638.0244339,566.8745709,473.7415516,713.1234291,473.7415516
0,-8,-8,535.2944507,718.125777,744.7035493,718.125777,560.4786049,556.4016378,719.5193951,556.4016378
0,-4,-8,541.5312846,798.7292745,738.4667154,798.7292745,554.1229882,638.5402598,725.8750118,638.5402598
0,0,-8,547.80734,879.8396634,732.19066,879.8396634,547.80734,720.1623366,732.19066,720.1623366
0,4,-8,554.1229882,961.4617402,725.8750118,961.4617402,541.5312846,801.2727255,738.4667154,801.2727255
0,8,-8,560.4786049,1043.600362,719.5193951,1043.600362,535.2944507,881.876223,744.7035493,881.876223
0,12,-8,566.8745709,1126.260448,713.1234291,1126.260448,529.096472,961.9775661,750.901528,961.9775661
0,16,-8,573.3112714,1209.446981,706.6867286,1209.446981,522.9369863,1041.581433,757.0610137,1041.581433
0,20,-8,579.7890971,1293.165004,700.2089029,1293.165004,516.8156362,1120.692443,763.1823638,1120.692443
0,24,-8,586.3084431,1377.419629,693.6895569,1377.419629,510.7320686,1199.31516,769.2659314,1199.31516
0,28,-8,592.8697101,1462.21603,687.1282899,1462.21603,504.6859349,1277.454091,775.3120651,1277.454091
0,32,-8,599.4733037,1547.559451,680.5246963,1547.559451,498.6768905,1355.113686,781.3211095,1355.113686
4,-32,-8,576.1110654,261.7933265,859.2469008,227.8759739,680.5561263,38.98848847,762.1489553,65.98645007
4,-28,-8,582.3385796,339.2590484,853.4592347,305.7303468,673.7145354,124.0928765,768.5112208,151.570205
4,-24,-8,588.6044095,417.2013911,847.6357316,384.0667917,666.916652,208.6535749,774.8325713,236.6035804
