,u,v,j,i,X,Y,Z
0,245.95949,40.046383,8,-2,4.0,-1.0,0.0
1,307.03574,40.075886,8,0,4.0,0.0,0.0
2,124.03021,41.03711,8,-6,4.0,-3.0,0.0
3,184.83961,40.72562,8,-4,4.0,-2.0,0.0
4,368.7402,40.730415,8,2,4.0,1.0,0.0
5,429.8711,40.903023,8,4,4.0,2.0,0.0
6,490.8947,41.097794,8,6,4.0,3.0,0.0
7,64.06681,41.97079,8,-8,4.0,-4.0,0.0
8,551.7081,41.88176,8,8,4.0,4.0,0.0
9,612.04346,42.06392,8,10,4.0,5.0,0.0
10,183.02052,101.26154,6,-4,3.0,-2.0,0.0
11,306.04364,101.21202,6,0,3.0,0.0,0.0
12,61.925278,102.01488,6,-8,3.0,-4.0,0.0
13,122.04888,101.81117,6,-6,3.0,-3.0,0.0
14,244.72736,101.53779,6,-2,3.0,-1.0,0.0
15,367.8799,101.74396,6,2,3.0,1.0,0.0
16,429.1995,102.007034,6,4,3.0,2.0,0.0
17,490.66455,102.6779,6,6,3.0,3.0,0.0
18,551.1842,102.87375,6,8,3.0,4.0,0.0
19,611.7893,103.11231,6,10,3.0,5.0,0.0
20,59.85551,162.97327,4,-8,2.0,-4.0,0.0
21,120.66264,162.91595,4,-6,2.0,-3.0,0.0
22,181.69879,162.93149,4,-4,2.0,-2.0,0.0
23,243.08994,162.94371,4,-2,2.0,-1.0,0.0
24,305.01944,163.0499,4,0,2.0,0.0,0.0
25,366.86475,163.20918,4,2,2.0,1.0,0.0
26,428.7189,163.82968,4,4,2.0,2.0,0.0
27,489.94275,164.07893,4,6,2.0,3.0,0.0
28,550.83997,164.2138,4,8,2.0,4.0,0.0
29,611.1936,164.84778,4,10,2.0,5.0,0.0
30,57.95763,224.10342,2,-8,1.0,-4.0,0.0
31,118.83123,224.66304,2,-6,1.0,-3.0,0.0
32,180.07613,224.8117,2,-4,1.0,-2.0,0.0
33,241.8254,224.91704,2,-2,1.0,-1.0,0.0
34,303.96814,225.09897,2,0,1.0,0.0,0.0
35,365.89282,225.7303,2,2,1.0,1.0,0.0
36,427.75635,225.87178,2,4,1.0,2.0,0.0
37,488.95187,225.96822,2,6,1.0,3.0,0.0
38,549.8286,225.99823,2,8,1.0,4.0,0.0
39,610.70844,226.80798,2,10,1.0,5.0,0.0
40,56.764713,285.8775,0,-8,0.0,-4.0,0.0
41,117.06187,286.14932,0,-6,0.0,-3.0,0.0
42,178.84242,286.88135,0,-4,0.0,-2.0,0.0
43,240.60529,287.1729,0,-2,0.0,-1.0,0.0
44,302.87598,287.8335,0,0,0.0,0.0,0.0
45,364.78302,287.94763,0,2,0.0,1.0,0.0
46,426.6514,288.06732,0,4,0.0,2.0,0.0
47,487.89346,288.11334,0,6,0.0,3.0,0.0
48,548.7051,287.93637,0,8,0.0,4.0,0.0
49,609.88684,288.2532,0,10,0.0,5.0,0.0
50,55.030228,347.18213,-2,-8,-1.0,-4.0,0.0
51,115.856,348.05206,-2,-6,-1.0,-3.0,0.0
52,177.12672,348.90094,-2,-4,-1.0,-2.0,0.0
53,239.00749,349.2895,-2,-2,-1.0,-1.0,0.0
54,301.0009,349.85376,-2,0,-1.0,0.0,0.0
55,363.05838,350.05026,-2,2,-1.0,1.0,0.0
56,425.04172,350.24857,-2,4,-1.0,2.0,0.0
57,486.53305,350.13586,-2,6,-1.0,3.0,0.0
58,547.79,350.2232,-2,8,-1.0,4.0,0.0
59,608.29016,350.18457,-2,10,-1.0,5.0,0.0
60,53.955204,408.80878,-4,-8,-2.0,-4.0,0.0
61,114.81764,409.88348,-4,-6,-2.0,-3.0,0.0
62,175.9353,410.7275,-4,-4,-2.0,-2.0,0.0
63,237.80531,411.14087,-4,-2,-2.0,-1.0,0.0
64,299.8902,411.8578,-4,0,-2.0,0.0,0.0
65,361.80353,412.12122,-4,2,-2.0,1.0,0.0
66,423.65207,412.1087,-4,4,-2.0,2.0,0.0
67,484.786,412.22784,-4,6,-2.0,3.0,0.0
68,546.04956,412.1406,-4,8,-2.0,4.0,0.0
69,606.8128,411.8608,-4,10,-2.0,5.0,0.0
70,52.91246,469.8503,-6,-8,-3.0,-4.0,0.0
71,113.73547,471.05283,-6,-6,-3.0,-3.0,0.0
72,174.85025,472.1191,-6,-4,-3.0,-2.0,0.0
