,u,v,j,i,X,Y,Z
0,514.96155,21.859009,8,6,4.0,3.0,0.0
1,574.7448,23.029072,8,8,4.0,4.0,0.0
2,634.11554,25.211073,8,10,4.0,5.0,0.0
3,23.001873,77.82672,6,-10,3.0,-5.0,0.0
4,84.30927,78.146194,6,-8,3.0,-4.0,0.0
5,145.28915,78.09615,6,-6,3.0,-3.0,0.0
6,207.05667,78.74081,6,-4,3.0,-2.0,0.0
7,268.21918,78.84579,6,-2,3.0,-1.0,0.0
8,329.92734,79.25194,6,0,3.0,0.0,0.0
9,391.12973,79.97489,6,2,3.0,1.0,0.0
10,452.90143,81.09159,6,4,3.0,2.0,0.0
11,513.28314,82.1497,6,6,3.0,3.0,0.0
12,574.1222,83.83822,6,8,3.0,4.0,0.0
13,633.2851,85.34233,6,10,3.0,5.0,0.0
14,21.931505,139.77202,4,-10,2.0,-5.0,0.0
15,83.01404,139.80786,4,-8,2.0,-4.0,0.0
16,144.03696,139.80283,4,-6,2.0,-3.0,0.0
17,205.18494,139.96602,4,-4,2.0,-2.0,0.0
18,266.90793,140.18123,4,-2,2.0,-1.0,0.0
19,328.19495,140.82968,4,0,2.0,0.0,0.0
20,390.02478,141.2498,4,2,2.0,1.0,0.0
21,451.24783,142.1827,4,4,2.0,2.0,0.0
22,512.1847,143.13892,4,6,2.0,3.0,0.0
23,572.41504,144.26187,4,8,2.0,4.0,0.0
24,632.2265,145.95827,4,10,2.0,5.0,0.0
25,20.758966,201.05638,2,-10,1.0,-5.0,0.0
26,82.12292,201.79555,2,-8,1.0,-4.0,0.0
27,142.94666,201.8245,2,-6,1.0,-3.0,0.0
28,204.02318,201.87918,2,-4,1.0,-2.0,0.0
29,265.0865,201.8987,2,-2,1.0,-1.0,0.0
30,327.08914,202.14589,2,0,1.0,0.0,0.0
31,388.83914,203.03194,2,2,1.0,1.0,0.0
32,450.13266,203.84561,2,4,1.0,2.0,0.0
33,511.08466,204.26416,2,6,1.0,3.0,0.0
34,571.3207,205.23624,2,8,1.0,4.0,0.0
35,631.03424,206.31775,2,10,1.0,5.0,0.0
36,80.88037,263.1097,0,-8,0.0,-4.0,0.0
37,141.34743,263.17563,0,-6,0.0,-3.0,0.0
38,202.91481,263.90134,0,-4,0.0,-2.0,0.0
39,263.9185,263.95447,0,-2,0.0,-1.0,0.0
40,325.69858,264.02844,0,0,0.0,0.0,0.0
41,387.18732,264.86356,0,2,0.0,1.0,0.0
42,448.81805,265.1438,0,4,0.0,2.0,0.0
43,509.94366,265.9228,0,6,0.0,3.0,0.0
44,570.0713,266.39117,0,8,0.0,4.0,0.0
45,629.44464,267.2361,0,10,0.0,5.0,0.0
46,80.030334,324.99905,-2,-8,-1.0,-4.0,0.0
47,140.35512,325.0075,-2,-6,-1.0,-3.0,0.0
48,201.98094,325.7712,-2,-4,-1.0,-2.0,0.0
49,263.0211,325.9143,-2,-2,-1.0,-1.0,0.0
50,324.38312,326.14136,-2,0,-1.0,0.0,0.0
51,386.07056,326.69925,-2,2,-1.0,1.0,0.0
52,447.25095,326.92477,-2,4,-1.0,2.0,0.0
53,508.19998,327.15063,-2,6,-1.0,3.0,0.0
54,568.8324,327.8183,-2,8,-1.0,4.0,0.0
55,628.07825,328.05655,-2,10,-1.0,5.0,0.0
56,79.18648,386.24435,-4,-8,-2.0,-4.0,0.0
57,140.06223,386.92538,-4,-6,-2.0,-3.0,0.0
58,201.0053,387.13647,-4,-4,-2.0,-2.0,0.0
59,262.0398,387.6434,-4,-2,-2.0,-1.0,0.0
60,323.30292,387.8111,-4,0,-2.0,0.0,0.0
