,u,v,j,i,X,Y,Z
0,403.79266,93.55919,12,-2,6.0,-1.0,0
1,472.70395,94.59765,12,0,6.0,0.0,0
2,540.995,94.840546,12,2,6.0,1.0,0
3,609.86633,94.92864,12,4,6.0,2.0,0
4,678.082,94.64404,12,6,6.0,3.0,0
5,266.80185,162.06909,10,-6,5.0,-3.0,0
6,335.9102,163.15631,10,-4,5.0,-2.0,0
7,404.1793,163.34673,10,-2,5.0,-1.0,0
8,471.89813,164.31812,10,0,5.0,0.0,0
9,540.73596,164.05788,10,2,5.0,1.0,0
10,608.90857,164.29884,10,4,5.0,2.0,0
11,676.9857,164.36993,10,6,5.0,3.0,0
12,745.7298,163.70178,10,8,5.0,4.0,0
13,197.9886,229.47911,8,-8,4.0,-4.0,0
14,267.85394,231.04832,8,-6,4.0,-3.0,0
15,336.0857,231.35075,8,-4,4.0,-2.0,0
16,472.31204,231.39473,8,0,4.0,0.0,0
17,404.2059,231.83438,8,-2,4.0,-1.0,0
18,540.17126,231.96085,8,2,4.0,1.0,0
19,608.37775,232.07188,8,4,4.0,2.0,0
20,676.7205,232.32182,8,6,4.0,3.0,0
21,744.92896,232.46123,8,8,4.0,4.0,0
22,814.0885,232.06921,8,10,4.0,5.0,0
23,126.92628,297.08044,6,-10,3.0,-5.0,0
24,198.17003,298.9753,6,-8,3.0,-4.0,0
25,268.12158,299.1174,6,-6,3.0,-3.0,0
26,336.0403,299.1507,6,-4,3.0,-2.0,0
27,403.97046,298.99237,6,-2,3.0,-1.0,0
28,472.03546,298.8384,6,0,3.0,0.0,0
29,540.1834,299.02234,6,2,3.0,1.0,0
30,608.4049,299.1356,6,4,3.0,2.0,0
31,676.80066,299.8597,6,6,3.0,3.0,0
32,744.45917,299.9367,6,8,3.0,4.0,0
33,814.4724,300.04947,6,10,3.0,5.0,0
34,883.1702,300.1569,6,12,3.0,6.0,0
35,54.98391,364.72546,4,-12,2.0,-6.0,0
36,128.01462,366.21692,4,-10,2.0,-5.0,0
37,471.22263,366.2211,4,0,2.0,0.0,0
38,540.0305,366.22403,4,2,2.0,1.0,0
39,198.0083,366.96634,4,-8,2.0,-4.0,0
40,267.371,366.99155,4,-6,2.0,-3.0,0
41,335.10724,366.8134,4,-4,2.0,-2.0,0
42,403.138,366.69705,4,-2,2.0,-1.0,0
43,608.2289,366.88733,4,4,2.0,2.0,0
44,676.9508,367.13632,4,6,2.0,3.0,0
45,744.65454,366.9501,4,8,2.0,4.0,0
46,813.13165,368.2613,4,10,2.0,5.0,0
47,954.1607,367.98145,4,14,2.0,7.0,0
48,882.11676,368.92334,4,12,2.0,6.0,0
49,56.068554,434.09854,2,-12,1.0,-6.0,0
50,402.77176,434.22714,2,-2,1.0,-1.0,0
51,471.1445,433.4616,2,0,1.0,0.0,0
52,128.12532,434.8082,2,-10,1.0,-5.0,0
53,198.14247,435.35336,2,-8,1.0,-4.0,0
54,267.00983,434.90765,2,-6,1.0,-3.0,0
55,334.848,434.7755,2,-4,1.0,-2.0,0
56,539.86945,434.6796,2,2,1.0,1.0,0
57,608.9014,435.0041,2,4,1.0,2.0,0
58,677.0701,435.64917,2,6,1.0,3.0,0
59,745.28735,436.1723,2,8,1.0,4.0,0
60,812.91406,436.64868,2,10,1.0,5.0,0
61,881.9341,437.1187,2,12,1.0,6.0,0
