,u,v,j,i,X,Y,Z
0,444.18573,108.56436,14,2,7.0,1.0,0
1,239.80879,172.70868,12,-4,6.0,-2.0,0
2,309.82697,175.69258,12,-2,6.0,-1.0,0
3,377.90646,178.12254,12,0,6.0,0.0,0
4,445.09622,180.04158,12,2,6.0,1.0,0
5,576.8258,179.96794,12,6,6.0,3.0,0
6,510.8804,180.79317,12,4,6.0,2.0,0
8,244.7505,244.86107,10,-4,5.0,-2.0,0
9,312.37018,246.40178,10,-2,5.0,-1.0,0
10,380.8004,249.09839,10,0,5.0,0.0,0
11,446.72018,250.05786,10,2,5.0,1.0,0
12,511.63217,251.06706,10,4,5.0,2.0,0
13,575.9935,251.09053,10,6,5.0,3.0,0
14,175.92503,311.89023,8,-6,4.0,-3.0,0
15,246.13658,314.0763,8,-4,4.0,-2.0,0
16,315.35684,316.0823,8,-2,4.0,-1.0,0
17,383.11063,318.02798,8,0,4.0,0.0,0
18,448.41208,319.16364,8,2,4.0,1.0,0
19,640.39374,319.16605,8,8,4.0,4.0,0
20,513.0259,320.29993,8,4,4.0,2.0,0
21,576.1951,320.02518,8,6,4.0,3.0,0
24,178.07344,381.92462,6,-6,3.0,-3.0,0
25,248.25818,383.22437,6,-4,3.0,-2.0,0
26,317.27573,384.9436,6,-2,3.0,-1.0,0
27,384.87665,386.0955,6,0,3.0,0.0,0
28,639.8042,386.11014,6,8,3.0,4.0,0
29,450.00208,387.07684,6,2,3.0,1.0,0
30,513.3988,387.27545,6,4,3.0,2.0,0
31,576.9299,387.8222,6,6,3.0,3.0,0
34,179.24854,451.25143,4,-6,2.0,-3.0,0
35,249.9866,452.69675,4,-4,2.0,-2.0,0
36,318.8649,453.1647,4,-2,2.0,-1.0,0
37,639.7514,452.73645,4,8,2.0,4.0,0
38,703.63983,452.92297,4,10,2.0,5.0,0
39,385.31607,454.10767,4,0,2.0,0.0,0
40,576.4124,454.23654,4,6,2.0,3.0,0
41,450.9732,454.90793,4,2,2.0,1.0,0
42,514.31934,454.929,4,4,2.0,2.0,0
44,701.77606,519.4507,2,10,1.0,5.0,0
45,638.4069,520.3335,2,8,1.0,4.0,0
47,180.10039,520.7356,2,-6,1.0,-3.0,0
48,251.00061,521.2579,2,-4,1.0,-2.0,0
49,514.3016,521.3295,2,4,1.0,2.0,0
50,576.2797,520.993,2,6,1.0,3.0,0
51,319.0375,521.89044,2,-2,1.0,-1.0,0
52,386.10236,521.89703,2,0,1.0,0.0,0
53,451.0257,522.1138,2,2,1.0,1.0,0
54,638.44025,585.9214,0,8,0.0,4.0,0
55,701.5651,585.4909,0,10,0.0,5.0,0
57,575.93854,587.0244,0,6,0.0,3.0,0
58,513.4192,587.8871,0,4,0.0,2.0,0
60,385.35208,589.3814,0,0,0.0,0.0,0
61,450.28116,588.9764,0,2,0.0,1.0,0
62,180.95956,589.6603,0,-6,0.0,-3.0,0
63,251.03737,590.1099,0,-4,0.0,-2.0,0
64,318.98996,589.78784,0,-2,0.0,-1.0,0
65,700.8632,651.01935,-2,10,-1.0,5.0,0
66,637.5147,651.81885,-2,8,-1.0,4.0,0
67,574.34686,652.8386,-2,6,-1.0,3.0,0
68,512.29,653.9604,-2,4,-1.0,2.0,0
69,449.13132,655.1392,-2,2,-1.0,1.0,0
70,384.04337,656.2463,-2,0,-1.0,0.0,0
73,179.98923,657.2268,-2,-6,-1.0,-3.0,0
74,249.82295,657.2783,-2,-4,-1.0,-2.0,0
75,318.1852,657.0412,-2,-2,-1.0,-1.0,0
76,573.12665,718.19653,-4,6,-2.0,3.0,0
77,636.6202,717.64624,-4,8,-2.0,4.0,0
78,510.28992,719.3208,-4,4,-2.0,2.0,0
79,447.07053,721.1003,-4,2,-2.0,1.0,0
80,382.194,722.4174,-4,0,-2.0,0.0,0
81,248.84686,724.30273,-4,-4,-2.0,-2.0,0
82,316.139,723.77057,-4,-2,-2.0,-1.0,0
85,179.09454,724.86633,-4,-6,-2.0,-3.0,0
86,571.8857,783.99976,-6,6,-3.0,3.0,0
87,635.69354,783.7394,-6,8,-3.0,4.0,0
88,508.8891,785.1706,-6,4,-3.0,2.0,0
89,444.99048,786.9274,-6,2,-3.0,1.0,0
90,380.16907,788.14557,-6,0,-3.0,0.0,0
91,314.06635,790.01685,-6,-2,-3.0,-1.0,0
92,246.91559,790.7624,-6,-4,-3.0,-2.0,0
