,u,v,j,i,X,Y,Z
3,400.345,149.29396,8,4,4.0,2.0,0
4,335.4891,151.3347,8,2,4.0,1.0,0
5,272.05286,153.15154,8,0,4.0,0.0,0
6,208.27286,154.37962,8,-2,4.0,-1.0,0
9,464.10062,212.07391,6,6,3.0,3.0,0
10,397.2816,213.39142,6,4,3.0,2.0,0
11,332.344,215.34439,6,2,3.0,1.0,0
12,269.1262,217.8886,6,0,3.0,0.0,0
13,206.25418,219.43306,6,-2,3.0,-1.0,0
14,142.54779,220.33539,6,-4,3.0,-2.0,0
15,529.22534,275.45905,4,8,2.0,4.0,0
18,461.18234,276.92972,4,6,2.0,3.0,0
19,394.30945,278.12436,4,4,2.0,2.0,0
20,329.94537,279.91077,4,2,2.0,1.0,0
21,266.19153,281.88608,4,0,2.0,0.0,0
22,203.36177,283.54913,4,-2,2.0,-1.0,0
23,141.28558,285.26425,4,-4,2.0,-2.0,0
24,527.13995,342.03003,2,8,1.0,4.0,0
26,392.2103,343.29288,2,4,1.0,2.0,0
27,459.0664,342.66586,2,6,1.0,3.0,0
29,327.15717,344.78513,2,2,1.0,1.0,0
30,263.36542,346.2293,2,0,1.0,0.0,0
31,201.14804,348.12006,2,-2,1.0,-1.0,0
32,140.0169,350.1243,2,-4,1.0,-2.0,0
33,76.31304,350.9846,2,-6,1.0,-3.0,0
34,458.00635,409.00266,0,6,0.0,3.0,0
35,526.8657,409.14816,0,8,0.0,4.0,0
36,390.62604,409.7118,0,4,0.0,2.0,0
38,261.29895,411.29364,0,0,0.0,0.0,0
39,325.04956,410.70554,0,2,0.0,1.0,0
41,199.12178,413.0162,0,-2,0.0,-1.0,0
42,137.9276,414.802,0,-4,0.0,-2.0,0
43,74.537346,416.08414,0,-6,0.0,-3.0,0
44,323.9333,476.92,-2,2,-1.0,1.0,0
45,389.61618,476.77457,-2,4,-1.0,2.0,0
46,457.013,476.71027,-2,6,-1.0,3.0,0
47,526.7929,477.21332,-2,8,-1.0,4.0,0
48,197.18184,478.22272,-2,-2,-1.0,-1.0,0
49,259.93335,477.85684,-2,0,-1.0,0.0,0
51,135.99649,480.00452,-2,-4,-1.0,-2.0,0
52,72.57344,481.0525,-2,-6,-1.0,-3.0,0
54,323.16055,544.04736,-4,2,-2.0,1.0,0
55,196.21376,544.9714,-4,-2,-2.0,-1.0,0
56,259.59464,544.7797,-4,0,-2.0,0.0,0
57,388.94577,544.7016,-4,4,-2.0,2.0,0
58,457.065,545.20447,-4,6,-2.0,3.0,0
59,134.23817,545.94183,-4,-4,-2.0,-2.0,0
60,70.685905,547.12787,-4,-6,-2.0,-3.0,0
61,527.7462,546.8427,-4,8,-2.0,4.0,0
64,195.8551,612.0211,-6,-2,-3.0,-1.0,0
65,259.0586,611.8637,-6,0,-3.0,0.0,0
66,133.04999,612.88513,-6,-4,-3.0,-2.0,0
67,323.82217,612.7464,-6,2,-3.0,1.0,0
68,389.73602,612.84735,-6,4,-3.0,2.0,0
69,68.77083,614.19464,-6,-6,-3.0,-3.0,0
70,457.96777,614.10706,-6,6,-3.0,3.0,0
71,529.0614,616.7454,-6,8,-3.0,4.0,0
73,195.47568,680.08606,-8,-2,-4.0,-1.0,0
74,259.60104,679.8412,-8,0,-4.0,0.0,0
75,132.03198,680.6607,-8,-4,-4.0,-2.0,0
76,324.79596,681.0346,-8,2,-4.0,1.0,0
77,392.24982,683.4049,-8,4,-4.0,2.0,0
78,460.74014,684.9381,-8,6,-4.0,3.0,0
79,531.07996,687.46857,-8,8,-4.0,4.0,0
80,195.62675,749.8894,-10,-2,-5.0,-1.0,0
81,260.68872,749.9908,-10,0,-5.0,0.0,0
82,326.07007,750.2976,-10,2,-5.0,1.0,0
83,130.55734,751.0985,-10,-4,-5.0,-2.0,0
84,393.76617,753.04034,-10,4,-5.0,2.0,0
85,463.13757,755.231,-10,6,-5.0,3.0,0
86,535.4187,759.2964,-10,8,-5.0,4.0,0
87,195.39691,820.99805,-12,-2,-6.0,-1.0,0
88,261.20343,821.0961,-12,0,-6.0,0.0,0
89,328.6449,822.78094,-12,2,-6.0,1.0,0
90,396.85754,824.9524,-12,4,-6.0,2.0,0
91,467.89603,829.041,-12,6,-6.0,3.0,0
4,412.0082,153.71657,8,4,4.0,2.0,1
5,347.1172,155.84901,8,2,4.0,1.0,1
6,283.0372,157.26778,8,0,4.0,0.0,1
7,219.3239,158.59047,8,-2,4.0,-1.0,1
10,475.299,216.26828,6,6,3.0,3.0,1
11,408.36517,217.43274,6,4,3.0,2.0,1
12,343.36728,219.37665,6,2,3.0,1.0,1
13,280.1226,221.93446,6,0,3.0,0.0,1
14,153.53392,224.5562,6,-4,3.0,-2.0,1
15,217.83377,224.03287,6,-2,3.0,-1.0,1
16,541.2917,279.75238,4,8,2.0,4.0,1
18,473.12958,281.18762,4,6,2.0,3.0,1
20,406.02704,282.25256,4,4,2.0,2.0,1
21,341.01053,284.00977,4,2,2.0,1.0,1
22,277.16467,285.93796,4,0,2.0,0.0,1
23,214.87193,288.10178,4,-2,2.0,-1.0,1
24,152.26448,289.4497,4,-4,2.0,-2.0,1
25,88.46062,290.195,4,-6,2.0,-3.0,1
26,471.034,346.99304,2,6,1.0,3.0,1
27,539.95636,346.8837,2,8,1.0,4.0,1
29,404.0053,347.8218,2,4,1.0,2.0,1
31,338.25027,348.93823,2,2,1.0,1.0,1
32,274.30087,350.31018,2,0,1.0,0.0,1
33,212.0658,352.27158,2,-2,1.0,-1.0,1
34,150.37204,354.17416,2,-4,1.0,-2.0,1
35,87.410286,355.23566,2,-6,1.0,-3.0,1
36,402.00174,413.95953,0,4,0.0,2.0,1
37,470.0198,413.7825,0,6,0.0,3.0,1
38,539.0723,414.02603,0,8,0.0,4.0,1
39,336.6805,414.92236,0,2,0.0,1.0,1
41,272.30225,415.95435,0,0,0.0,0.0,1
42,210.0142,417.23132,0,-2,0.0,-1.0,1
44,148.1901,418.87363,0,-4,0.0,-2.0,1
45,85.5798,420.3043,0,-6,0.0,-3.0,1
46,401.0177,481.10794,-2,4,-1.0,2.0,1
47,469.10965,481.26416,-2,6,-1.0,3.0,1
48,270.9481,482.05008,-2,0,-1.0,0.0,1
49,335.57486,481.75473,-2,2,-1.0,1.0,1
50,539.04443,482.24573,-2,8,-1.0,4.0,1
51,208.14435,482.99393,-2,-2,-1.0,-1.0,1
52,146.27585,484.14835,-2,-4,-1.0,-2.0,1
54,83.569,485.30777,-2,-6,-1.0,-3.0,1
56,207.16486,549.2495,-4,-2,-2.0,-1.0,1
57,270.2158,549.00446,-4,0,-2.0,0.0,1
58,334.8706,548.9741,-4,2,-2.0,1.0,1
59,400.8253,549.1407,-4,4,-2.0,2.0,1
60,145.13321,550.15094,-4,-4,-2.0,-2.0,1
61,81.66038,551.38055,-4,-6,-2.0,-3.0,1
62,469.8932,550.79443,-4,6,-2.0,3.0,1
63,540.0444,551.84503,-4,8,-2.0,4.0,1
66,144.06851,617.08307,-6,-4,-3.0,-2.0,1
67,206.93114,616.8942,-6,-2,-3.0,-1.0,1
68,270.60745,616.85333,-6,0,-3.0,0.0,1
69,335.63602,617.77716,-6,2,-3.0,1.0,1
70,401.77142,617.8992,-6,4,-3.0,2.0,1
71,80.24165,618.88965,-6,-6,-3.0,-3.0,1
72,470.8149,619.8326,-6,6,-3.0,3.0,1
73,541.96735,621.90405,-6,8,-3.0,4.0,1
75,207.05458,684.9685,-8,-2,-4.0,-1.0,1
76,270.97742,684.8822,-8,0,-4.0,0.0,1
77,143.05855,685.53375,-8,-4,-4.0,-2.0,1
78,336.26038,685.9893,-8,2,-4.0,1.0,1
79,78.490326,686.7644,-8,-6,-4.0,-3.0,1
80,404.30634,688.5499,-8,4,-4.0,2.0,1
81,473.03827,690.1652,-8,6,-4.0,3.0,1
82,545.00684,693.60156,-8,8,-4.0,4.0,1
83,206.91042,754.8241,-10,-2,-5.0,-1.0,1
84,272.07242,755.0085,-10,0,-5.0,0.0,1
85,142.02208,756.0201,-10,-4,-5.0,-2.0,1
86,338.17877,756.04297,-10,2,-5.0,1.0,1
87,405.94498,758.28723,-10,4,-5.0,2.0,1
88,476.07227,761.1917,-10,6,-5.0,3.0,1
89,549.452,765.6069,-10,8,-5.0,4.0,1
90,207.0916,826.81903,-12,-2,-6.0,-1.0,1
91,273.14127,826.97833,-12,0,-6.0,0.0,1
92,340.78036,828.7509,-12,2,-6.0,1.0,1
93,409.8285,831.7083,-12,4,-6.0,2.0,1
94,481.13104,835.3755,-12,6,-6.0,3.0,1
5,423.24176,157.36707,8,4,4.0,2.0,2
6,358.1901,159.45883,8,2,4.0,1.0,2
7,294.1318,161.41911,8,0,4.0,0.0,2
11,487.2094,220.41501,6,6,3.0,3.0,2
12,420.1995,221.91031,6,4,3.0,2.0,2
13,355.07407,223.89192,6,2,3.0,1.0,2
14,291.11267,225.95189,6,0,3.0,0.0,2
15,228.83847,228.17056,6,-2,3.0,-1.0,2
16,165.2031,229.1749,6,-4,3.0,-2.0,2
17,554.0617,284.5114,4,8,2.0,4.0,2
19,485.12286,285.71643,4,6,2.0,3.0,2
21,417.94107,286.7898,4,4,2.0,2.0,2
22,352.13306,288.1111,4,2,2.0,1.0,2
23,288.1595,290.0217,4,0,2.0,0.0,2
24,225.25427,292.03497,4,-2,2.0,-1.0,2
25,99.57582,294.47147,4,-6,2.0,-3.0,2
26,163.96266,294.101,4,-4,2.0,-2.0,2
27,552.20074,351.291,2,8,1.0,4.0,2
28,415.9255,352.17316,2,4,1.0,2.0,2
29,483.10754,351.68948,2,6,1.0,3.0,2
31,349.9909,353.20135,2,2,1.0,1.0,2
33,285.95462,354.93558,2,0,1.0,0.0,2
34,222.39034,356.2962,2,-2,1.0,-1.0,2
35,161.27496,358.3258,2,-4,1.0,-2.0,2
36,98.546974,359.53738,2,-6,1.0,-3.0,2
37,482.12833,418.24854,0,6,0.0,3.0,2
38,347.95096,419.1632,0,2,0.0,1.0,2
39,413.99783,418.73062,0,4,0.0,2.0,2
40,552.04846,418.9871,0,8,0.0,4.0,2
41,283.39175,420.1949,0,0,0.0,0.0,2
43,221.05873,421.79636,0,-2,0.0,-1.0,2
45,159.08136,423.0789,0,-4,0.0,-2.0,2
46,97.28302,424.87375,0,-6,0.0,-3.0,2
47,346.89148,486.08066,-2,2,-1.0,1.0,2
48,413.068,486.03802,-2,4,-1.0,2.0,2
49,219.12541,487.27927,-2,-2,-1.0,-1.0,2
50,282.1896,486.85495,-2,0,-1.0,0.0,2
51,481.9477,486.707,-2,6,-1.0,3.0,2
52,552.0357,487.3634,-2,8,-1.0,4.0,2
53,157.2278,488.40668,-2,-4,-1.0,-2.0,2
55,95.23625,489.95068,-2,-6,-1.0,-3.0,2
