,X,Y,Z,u,v
0,-5.0,-5.0,-5.0,0.033433900608924566,1.3404849748739063
1,-4.615384615384615,-5.0,-5.0,-0.017292327659771786,1.3396640480943192
2,-4.230769230769231,-5.0,-5.0,-0.06889357819268765,1.3388289604115078
3,-3.846153846153846,-5.0,-5.0,-0.1213926890340155,1.3379793422264952
4,-3.4615384615384617,-5.0,-5.0,-0.17481329996570738,1.3371148109654003
5,-3.0769230769230766,-5.0,-5.0,-0.22917988800059297,1.3362349705050327
6,-2.692307692307692,-5.0,-5.0,-0.2845178047778828,1.3353394105677079
7,-2.3076923076923075,-5.0,-5.0,-0.34085331598109725,1.3344277060833238
8,-1.923076923076923,-5.0,-5.0,-0.3982136429071829,1.3334994165166307
9,-1.5384615384615383,-5.0,-5.0,-0.45662700632504116,1.3325540851574478
10,-1.1538461538461537,-5.0,-5.0,-0.5161226727719345,1.3315912383714235
11,-0.7692307692307692,-5.0,-5.0,-0.5767310034473436,1.3306103848087658
12,-0.38461538461538414,-5.0,-5.0,-0.638483505875898,1.329611014568156
13,0.0,-5.0,-5.0,-0.7014128885240851,1.3285925983128577
14,0.384615384615385,-5.0,-5.0,-0.765553118569661,1.3275545863358116
15,0.7692307692307692,-5.0,-5.0,-0.8309394830381402,1.3264964075702288
16,1.1538461538461542,-5.0,-5.0,-0.8976086535375732,1.325417468541962
17,1.5384615384615392,-5.0,-5.0,-0.9655987548411348,1.3243171522595985
18,1.9230769230769234,-5.0,-5.0,-1.034949437587025,1.3231948170379217
19,2.3076923076923084,-5.0,-5.0,-1.1057019553869813,1.3220497952500305
20,2.6923076923076925,-5.0,-5.0,-1.1778992466584735,1.3208813920030065
21,3.0769230769230766,-5.0,-5.0,-1.2515860215216814,1.3196888837316203
22,3.4615384615384617,-5.0,-5.0,-1.3268088541307732,1.3184715167040915
23,3.8461538461538467,-5.0,-5.0,-1.4036162808401529,1.3172285054334145
24,4.230769230769232,-5.0,-5.0,-1.4820589046404566,1.3159590309872233
25,4.615384615384617,-5.0,-5.0,-1.5621895063365128,1.3146622391885452
26,5.0,-5.0,-5.0,-1.6440631629805524,1.313337238699137
27,-5.0,-5.0,-5.0,0.033433900608924566,1.3404849748739063
28,-5.0,-4.615384615384615,-5.0,0.009800773623345995,1.267091073737177
29,-5.0,-4.230769230769231,-5.0,-0.013605632018731655,1.1944012674872828
30,-5.0,-3.846153846153846,-5.0,-0.03678856327544887,1.122405472527379
31,-5.0,-3.4615384615384617,-5.0,-0.05975120539837461,1.0510937968935732
32,-5.0,-3.0769230769230766,-5.0,-0.08249668339144792,0.9804565357241157
33,-5.0,-2.692307692307692,-5.0,-0.10502806342872027,0.9104841668565193
34,-5.0,-2.3076923076923075,-5.0,-0.12734835423225122,0.8411673465484382
35,-5.0,-1.923076923076923,-5.0,-0.14946050841145794,0.7724969053182473
36,-5.0,-1.5384615384615383,-5.0,-0.17136742376516886,0.7044638439014449
37,-5.0,-1.1538461538461537,-5.0,-0.1930719445475904,0.6370593293191293
38,-5.0,-0.7692307692307692,-5.0,-0.21457686269934667,0.5702746910549426
39,-5.0,-0.38461538461538414,-5.0,-0.23588491904471007,0.5041014173370054
40,-5.0,0.0,-5.0,-0.2569988044561039,0.43853115152149613
41,-5.0,0.384615384615385,-5.0,-0.277921160986914,0.37355568857464494
42,-5.0,0.7692307692307692,-5.0,-0.2986545829736113,0.309166971650036
43,-5.0,1.1538461538461542,-5.0,-0.31920161810815173,0.2453570887582125
44,-5.0,1.5384615384615392,-5.0,-0.3395647684815831,0.18211826952570143
45,-5.0,1.9230769230769234,-5.0,-0.35974649159975897,0.1194428820406633
46,-5.0,2.3076923076923084,-5.0,-0.37974920137202295,0.057323429782479896
47,-5.0,2.6923076923076925,-5.0,-0.3995752690737004,-0.004247451367313148
48,-5.0,3.0769230769230766,-5.0,-0.4192270242832039,-0.06527699603525497
49,-5.0,3.4615384615384617,-5.0,-0.43870675579452845,-0.12577231218976173
50,-5.0,3.8461538461538467,-5.0,-0.4580167125058885,-0.18574038390083575
51,-5.0,4.230769230769232,-5.0,-0.4771591042852227,-0.24518807402793202
