,X,Y,Z,u,v
0,-5.0,-5.0,-5.0,-1.5445636038351138,0.36147110560966716
1,-4.615384615384615,-5.0,-5.0,-1.47876700753655,0.2969436789351612
2,-4.230769230769231,-5.0,-5.0,-1.4131191243531267,0.2325620968053974
3,-3.846153846153846,-5.0,-5.0,-1.3476194506730916,0.16832586532293733
4,-3.4615384615384617,-5.0,-5.0,-1.2822674851560822,0.10423449281791707
5,-3.0769230769230766,-5.0,-5.0,-1.2170627287203302,0.04028748983550172
6,-2.692307692307692,-5.0,-5.0,-1.1520046845299599,-0.02351563087657296
7,-2.3076923076923075,-5.0,-5.0,-1.0870928579823675,-0.08717535438037766
8,-1.923076923076923,-5.0,-5.0,-1.0223267566956884,-0.15069216356008058
9,-1.5384615384615383,-5.0,-5.0,-0.9577058904963461,-0.21406653913415807
10,-1.1538461538461537,-5.0,-5.0,-0.8932297714066868,-0.27729895966752127
11,-0.7692307692307692,-5.0,-5.0,-0.8288979136326963,-0.3403899015835632
12,-0.38461538461538414,-5.0,-5.0,-0.7647098335517987,-0.40333983917612315
13,0.0,-5.0,-5.0,-0.7006650497007381,-0.4661492446213728
14,0.384615384615385,-5.0,-5.0,-0.6367630827635401,-0.5288185879896218
15,0.7692307692307692,-5.0,-5.0,-0.5730034555595549,-0.5913483372570444
16,1.1538461538461542,-5.0,-5.0,-0.5093856930315785,-0.6537389583173279
17,1.5384615384615392,-5.0,-5.0,-0.4459093222340553,-0.715990914993244
18,1.9230769230769234,-5.0,-5.0,-0.3825738723213583,-0.7781046690481426
19,2.3076923076923084,-5.0,-5.0,-0.3193788745361453,-0.8400806801973686
20,2.6923076923076925,-5.0,-5.0,-0.2563238621977968,-0.9019194061196043
21,3.0769230769230766,-5.0,-5.0,-0.19340837069092648,-0.9636213024681345
22,3.4615384615384617,-5.0,-5.0,-0.13063193745396992,-1.0251868228820404
23,3.8461538461538467,-5.0,-5.0,-0.06799410196784919,-1.0866164189973135
24,4.230769230769232,-5.0,-5.0,-0.005494405744710792,-1.147910540457902
25,4.615384615384617,-5.0,-5.0,0.0568676076832601,-1.2090696349266807
26,5.0,-5.0,-5.0,0.11909239277495293,-1.27009414809635
27,-5.0,-5.0,-5.0,-1.5445636038351138,0.36147110560966716
28,-5.0,-4.615384615384615,-5.0,-1.4893322226613688,0.4071946731496669
29,-5.0,-4.230769230769231,-5.0,-1.4350955588125682,0.4520947591140884
30,-5.0,-3.846153846153846,-5.0,-1.381826979821529,0.49619341132042466
31,-5.0,-3.4615384615384617,-5.0,-1.3295007955513118,0.5395118974734935
32,-5.0,-3.0769230769230766,-5.0,-1.2780922168828468,0.5820707393660864
33,-5.0,-2.692307692307692,-5.0,-1.227577316557066,0.6238897452960008
34,-5.0,-2.3076923076923075,-5.0,-1.1779329920415782,0.6649880408070428
35,-5.0,-1.923076923076923,-5.0,-1.1291369303008159,0.7053840978542335
36,-5.0,-1.5384615384615383,-5.0,-1.0811675743567768,0.7450957624866614
37,-5.0,-1.1538461538461537,-5.0,-1.0340040915350832,0.7841402811351362
38,-5.0,-0.7692307692307692,-5.0,-0.9876263432980826,0.8225343255860044
39,-5.0,-0.38461538461538414,-5.0,-0.942014856573216,0.8602940167170964
40,-5.0,0.0,-5.0,-0.8971507964909005,0.8974349470668068
41,-5.0,0.384615384615385,-5.0,-0.85301594045173,0.9339722023026844
42,-5.0,0.7692307692307692,-5.0,-0.8095926534479979,0.9699203816516333
43,-5.0,1.1538461538461542,-5.0,-0.7668638645693099,1.0052936173498526
44,-5.0,1.5384615384615392,-5.0,-0.7248130446265463,1.0401055931669505
45,-5.0,1.9230769230769234,-5.0,-0.6834241848325432,1.0743695620552434
46,-5.0,2.3076923076923084,-5.0,-0.642681776481735,1.108098362972067
47,-5.0,2.6923076923076925,-5.0,-0.6025707915745652,1.1413044369199465
48,-5.0,3.0769230769230766,-5.0,-0.563076664335818,1.173999842246739
49,-5.0,3.4615384615384617,-5.0,-0.524185273579118,1.2061962692452697
50,-5.0,3.8461538461538467,-5.0,-0.4858829258727432,1.237905054089591
51,-5.0,4.230769230769232,-5.0,-0.4481563394645946,1.2691371921427783
52,-5.0,4.615384615384617,-5.0,-0.41099262892667665,1.29990335066907
53,-5.0,5.0,-5.0,-0.37437929048179674,1.3302138809812312
54,-5.0,-5.0,-5.0,-1.5445636038351138,0.36147110560966716
55,-5.0,-5.0,-4.615384615384615,-1.5088373210043937,0.4067711987710724
56,-5.0,-5.0,-4.230769230769231,-1.472444300782787,0.45291669938962753
57,-5.0,-5.0,-3.846153846153846,-1.4353657030114966,0.4999314963471609
58,-5.0,-5.0,-3.4615384615384617,-1.397581970954362,0.54784038712888
59,-5.0,-5.0,-3.0769230769230766,-1.3590727969024128,0.5966691214359946
60,-5.0,-5.0,-2.692307692307692,-1.3198170857780602,0.6464444473347545
61,-5.0,-5.0,-2.3076923076923075,-1.2797929166018658,0.6971941601156886
62,-5.0,-5.0,-1.923076923076923,-1.2389775016739943,0.7489471540505659
63,-5.0,-5.0,-1.5384615384615383,-1.197347143310656,0.8017334772495838
64,-5.0,-5.0,-1.1538461538461537,-1.154877187962934,0.8555843898376184
65,-5.0,-5.0,-0.7692307692307692,-1.111541977531362,0.9105324256862095
66,-5.0,-5.0,-0.38461538461538414,-1.0673147976742148,0.9666114579574381
67,-5.0,-5.0,0.0,-1.0221678228906996,1.0238567687371607
68,-5.0,-5.0,0.384615384615385,-0.9760720581418183,1.0823051230583942
69,-5.0,-5.0,0.7692307692307692,-0.9289972767515298,1.1419948476411927
70,-5.0,-5.0,1.1538461538461542,-0.880911954308737,1.2029659147033862
71,-5.0,-5.0,1.5384615384615392,-0.8317831982663684,1.265260031227302
72,-5.0,-5.0,1.9230769230769234,-0.781576672907167,1.3289207341013944
73,-5.0,-5.0,2.3076923076923084,-0.7302565193164899,1.3939934915928693
74,-5.0,-5.0,2.6923076923076925,-0.6777852699701499,1.4605258116483055
75,-5.0,-5.0,3.0769230769230766,-0.6241237575097621,1.52856735756439
76,-5.0,-5.0,3.4615384615384617,-0.5692310172388234,1.5981700716206126
77,-5.0,-5.0,3.8461538461538467,-0.5130641828294149,1.6693883073207338
78,-5.0,-5.0,4.230769230769232,-0.45557837468150153,1.7422789709505906
79,-5.0,-5.0,4.615384615384617,-0.3967265803237629,1.8169016732270502
80,-5.0,-5.0,5.0,-0.3364595261861126,1.8933188918874662
81,-5.0,5.0,5.0,0.8243844360850642,2.727588740416457
82,-4.615384615384615,5.0,5.0,0.8874846073465197,2.660401652403047
83,-4.230769230769231,5.0,5.0,0.9504421966252937,2.5933663812235372
